Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
184,Jeff Grayer\grayeje01,SG,32,TOT,5,34,2.7,0.455,0.545,0,0,12.9,6.3,9.3,3.1,0,26.7,19.7,-0.1,0,-0.1,-0.111,-7,-1.7,-8.7,-0.1
185,Jeff Grayer\grayeje01,SG,32,CHH,1,11,-20,0,0.75,0,0,0,0,12.1,0,0,33.3,25.2,-0.1,0,-0.1,-0.624,-20.3,-7.7,-28,-0.1
186,Jeff Grayer\grayeje01,SG,32,GSW,4,23,13.5,0.714,0.429,0,0,19.1,9.3,8,4.6,0,22.2,17.1,0,0,0.1,0.135,-0.7,1.2,0.5,0
187,A.C. Green\greenac01,PF,34,DAL,82,2649,12.8,0.496,0.007,0.303,9,19.3,14,7.3,1.6,0.7,10.1,11.6,2.8,2.4,5.2,0.095,-1.7,1,-0.7,0.9
188,Litterial Green\greenli01,PG,27,MIL,21,124,5.4,0.393,0.087,0.87,1,6,3.4,18.7,1.7,0,20.1,14.6,-0.1,0.1,-0.1,-0.024,-6,-2.6,-8.6,-0.2
189,Derek Grimm\grimmde01,SF,23,SAC,9,34,7.9,0.47,0.857,0.143,0,13.4,6.5,0,4.6,2,16.8,23.4,-0.1,0.1,0,-0.012,-4.3,-2.7,-6.9,0
190,Tom Gugliotta\guglito01,SF,28,MIN,41,1582,20.5,0.561,0.027,0.351,7.7,17.8,12.8,17.9,2,1,12.9,23.6,3.4,1.5,5,0.151,2.7,0.8,3.6,2.2
191,Jack Haley\haleyja01,C,34,NJN,16,51,7.2,0.404,0.056,1.167,10.7,24.2,17,0,0,1.5,12.8,26.6,-0.1,0,0,-0.034,-9.7,-8.4,-18.1,-0.2
192,Darvin Ham\hamda01,SF,24,WAS,71,635,9.2,0.531,0,0.712,12.5,10.9,11.7,3.6,1.7,2.8,21.3,12.1,0.2,0.7,0.9,0.069,-2.9,0.9,-2,0
193,Tom Hammonds\hammoto01,PF,30,MIN,57,1140,12.1,0.569,0.004,0.537,10.1,16.9,13.5,4.6,0.7,1.1,13.6,13.7,1.7,0.7,2.4,0.102,-1.3,-1.1,-2.4,-0.1
194,Reggie Hanson\hansore01,SF,29,BOS,8,26,6.9,0.5,0,0,12.5,14.9,13.6,5.9,4,3,33.3,15,0,0,0,0.001,-5.3,2.4,-2.8,0
195,Anfernee Hardaway\hardaan01,SG,26,ORL,19,625,15.9,0.479,0.183,0.432,1.5,13.1,7.2,20.4,2.5,1.7,12.4,27.2,0.3,0.8,1.1,0.085,-0.2,0.3,0.2,0.3
196,Tim Hardaway\hardati01,PG,31,MIA,81,3031,20.6,0.53,0.341,0.254,1.9,9.4,5.8,41.3,2.4,0.4,13.5,25.6,7.9,3.8,11.7,0.185,5.1,-0.5,4.6,5.1
197,Derek Harper\harpede01,SG,36,ORL,66,1761,11.5,0.491,0.303,0.146,1.5,5.5,3.4,23.2,2.3,0.4,14.9,17.6,0.9,1.5,2.3,0.063,-0.5,-1.3,-1.8,0.1
198,Ron Harper\harpero01,PG,34,CHI,82,2284,14.7,0.503,0.126,0.325,5.3,9.2,7.3,16.4,2.5,1.5,10.7,16.7,3.4,3.7,7.2,0.151,0.4,1.9,2.3,2.5
199,Othella Harrington\harriot01,PF,24,HOU,58,903,13.7,0.547,0.004,0.459,9.7,17.4,13.6,4.4,0.6,2.1,12.8,18.4,1.3,0.5,1.7,0.092,-2.4,-1.9,-4.4,-0.5
200,Lucious Harris\harrilu01,SG,27,NJN,50,671,10.4,0.475,0.22,0.311,3.4,5.7,4.5,9.4,3.3,0.6,9.5,14.4,0.6,0.5,1.1,0.08,-1,0.1,-1,0.2
201,Hersey Hawkins\hawkihe01,SG,31,SEA,82,2597,15.4,0.594,0.473,0.321,3.3,11.9,7.7,12.8,3,0.5,12.3,14.8,5.3,3.3,8.6,0.158,2.4,1.2,3.6,3.7
202,Alan Henderson\hendeal01,PF,25,ATL,69,2000,18.4,0.534,0.008,0.515,12.2,13.8,13,6.7,1.1,1.3,10.6,23.9,4.2,1.8,6,0.144,0.9,-1.7,-0.8,0.6
203,Cedric Henderson\hendece02,SF,22,CLE,82,2527,10.7,0.514,0.006,0.262,3.5,12.2,7.9,11.6,2,1.4,16.9,17.8,-0.2,4,3.8,0.072,-2.6,2.2,-0.5,1
204,Mark Hendrickson\hendrma01,PF,23,SAC,48,737,9.4,0.468,0.034,0.383,4.9,17,10.8,8.3,1.8,0.8,15.1,12.4,0,0.7,0.8,0.049,-4.3,0.6,-3.7,-0.3
205,Steve Henson\hensost01,PG,29,DET,23,65,14.1,0.619,0.308,0.269,0,3.7,1.8,11.9,0.8,0,17.1,25.1,0.1,0,0.1,0.098,-0.6,-5.6,-6.1,-0.1
206,Carl Herrera\herreca01,PF,31,SAS,58,516,8.1,0.437,0.006,0.251,5.7,14.1,10.2,7.3,2,1.6,16.4,21.1,-0.9,0.9,0.1,0.006,-6.1,0.7,-5.4,-0.4
207,Sean Higgins\higgise01,SF,29,POR,2,12,-15.1,0,0.4,0,0,0,0,0,8.9,0,16.7,22.6,-0.1,0,-0.1,-0.414,-16.8,2.7,-14.1,0
